Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,,Price,Website,
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D15,D16,D18,D19,D20,D21,D22,D23,D24,D25,D26,D27,D28,D30,D31,D33,D34,D35,D36,D37,D38,D39,D40,D41,D42,D43,D45,D46,D48,D49,D50,D51,D52,D53,D54,D55,D56,D57,D58,D60,D61,D62,D63,D68,D73,D74,D75,D120,D121",62,Diode,,,,Diode_SMD:D_SOD-123F,,,$1.41 ,https://www.aliexpress.com/item/1005007536859190.html?spm=a2g0o.productlist.main.2.48163d002bnrsD&algo_pvid=0830e50a-e785-4516-8660-e4ac812bc87c&algo_exp_id=0830e50a-e785-4516-8660-e4ac812bc87c-1&pdp_ext_f=%7B%22order%22%3A%22217%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.41%211.14%21%21%219.80%217.92%21%402101e8f317670568616322984e1797%2112000041198924897%21sea%21CA%216967380896%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6f22de0%3Bm03_new_user%3A-29895%3BpisId%3A5000000187474241&curPageLogUid=P8NopE6CzZ6E&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007536859190%7C_p_origin_prod%3A,
"D14,D17,D29,D32,D44,D47,D59,D64,D65,D66",10,WS2812B,,,,LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,,$1.74 ,https://www.aliexpress.com/item/1005001376489095.html?spm=a2g0o.productlist.main.54.940c744exhXyzA&algo_pvid=5f19a9fc-bcf8-45b5-8148-63e7f7134613&algo_exp_id=5f19a9fc-bcf8-45b5-8148-63e7f7134613-53&pdp_ext_f=%7B%22order%22%3A%22136%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.74%211.14%21%21%2112.05%217.90%21%40210311c217690383898652488ef53b%2112000029992995670%21sea%21CA%216967380896%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6f22de0%3Bm03_new_user%3A-29895%3BpisId%3A5000000197831921&curPageLogUid=NBeugOt4vb7Q&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001376489095%7C_p_origin_prod%3A,
S1,1,esc,,,,PCM_Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_Choc_V1V2_1.00u,~,,,0.35,unit price
S2,1,1,,,,PCM_Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_Choc_V1V2_1.00u,~,,,0.35,unit price
S3,1,2,,,,PCM_Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_Choc_V1V2_1.00u,~,,,0.35,unit price
S4,1,3,,,,PCM_Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_Choc_V1V2_1.00u,~,,,0.35,unit price
S5,1,4,,,,PCM_Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_Choc_V1V2_1.00u,~,,,0.35,unit price
S6,1,5,,,,PCM_Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_Choc_V1V2_1.00u,~,,,0.35,unit price
S7,1,6,,,,PCM_Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_Choc_V1V2_1.00u,~,,,0.35,unit price
S8,1,7,,,,PCM_Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_Choc_V1V2_1.00u,~,,,0.35,unit price
